code,title,section,class,subclass,group,main_group
115618,35451,2,12.0,14,2527.0,15.0
59237,168009,1,41.0,8,2.0,14145.0
127442,176580,3,6.0,7,1.0,43.0
42293,82038,1,23.0,1,2270.0,2.0
238272,169184,7,4.0,12,1.0,32708.0
22903,93197,0,61.0,10,2300.0,80.0
192578,19226,6,5.0,3,3.0,0.0
162722,84578,5,25.0,1,2500.0,32.0
142576,33637,5,2.0,3,2200.0,625.0
78583,191490,1,65.0,3,81.0,3853.0
237795,213678,7,4.0,12,1.0,761.0
33585,155312,1,1.0,8,19.0,93.0
256936,79884,8,10.0,17,428.0,12771.0
26460,193496,0,63.0,1,21.0,455.0
88065,102448,2,1.0,13,2004.0,36.0
123554,159441,2,23.0,5,11.0,184.0
179485,72291,6,2.0,5,2202.0,38.0
12463,18581,0,47.0,10,2401.0,2.0
10668,150809,0,47.0,6,1.0,65.0
118890,57921,2,12.0,20,207.0,9005.0
129226,81879,3,10.0,1,2505.0,8.0
183984,218944,6,5.0,1,19.0,376.0
86478,166042,2,1.0,1,21.0,823.0
214295,1267,7,1.0,10,2224.0,27632.0
234620,222458,7,4.0,10,25.0,3229.0
59654,8245,1,41.0,8,29.0,16.0
251448,32566,8,10.0,17,137.0,2984.0
47138,36664,1,25.0,3,2222.0,51.0
194384,11860,6,6.0,5,2207.0,3852.0
187585,62355,6,5.0,1,2219.0,35082.0
1193,194878,0,1.0,5,25.0,166.0
100459,157605,2,8.0,5,4.0,60193.0
57192,194519,1,32.0,1,17.0,10944.0
200115,74703,6,9.0,6,1.0,2.0
69667,12922,1,60.0,20,2300.0,474.0
149601,130757,5,16.0,1,12.0,8.0
239123,195886,7,4.0,12,21.0,4665.0
100654,157610,2,8.0,5,4.0,64024.0
232345,166539,7,3.0,11,7.0,702.0
68789,18051,1,60.0,19,10.0,0.0
188177,84938,6,5.0,1,2219.0,36149.0
15731,196414,0,61.0,1,6.0,5294.0
216628,47492,7,1.0,10,2224.0,781.0
123371,137658,2,23.0,2,24.0,103.0
212114,136219,7,1.0,10,21.0,3146.0
88607,157227,2,2.0,5,3.0,302.0
169832,191148,6,1.0,9,13.0,28.0
128174,209437,3,6.0,12,7.0,15.0
161262,109141,5,24.0,3,3.0,16.0
44848,136326,1,23.0,9,37.0,282.0
192618,207788,6,5.0,3,7.0,126.0
25231,144611,0,61.0,12,1.0,565.0
160171,211949,5,23.0,10,17.0,5.0
98837,149885,2,7.0,9,14.0,70503.0
9790,123847,0,47.0,1,9.0,18.0
205094,136627,6,21.0,7,1.0,103.0
187899,41272,6,5.0,1,2219.0,35431.0
164509,134818,5,27.0,1,7.0,2206.0
43869,178501,1,23.0,5,19.0,102.0
201181,45288,6,10.0,7,2240.0,311.0
201535,29908,6,10.0,9,2210.0,3024.0
256290,54620,8,10.0,17,408.0,558.0
229144,115199,7,3.0,5,2203.0,45716.0
112180,73023,2,12.0,12,2710.0,10245.0
43561,200392,1,23.0,3,45.0,105.0
153872,116508,5,16.0,7,2200.0,6.0
140905,29781,5,1.0,12,2310.0,8.0
110488,121933,2,11.0,2,1.0,6.0
156180,97644,5,16.0,10,3.0,223.0
170268,99159,6,1.0,10,5.0,24.0
20633,73919,0,61.0,9,2800.0,52.0
47561,219609,1,25.0,8,9.0,69.0
171091,151695,6,1.0,12,2021.0,56.0
35335,219054,1,1.0,8,27.0,1813.0
98530,187073,2,7.0,9,1.0,63.0
199457,144570,6,9.0,1,15.0,23.0
168123,75204,6,1.0,3,11.0,28.0
40570,128828,1,21.0,8,7.0,8.0
216456,106374,7,1.0,10,2224.0,76735.0
80177,203908,1,65.0,6,47.0,843.0
155609,190543,5,16.0,9,41.0,43.0
185454,76968,6,5.0,1,2219.0,25031.0
87979,199541,2,1.0,6,53.0,64.0
256623,118523,8,10.0,17,409.0,305488.0
125217,20270,3,2.0,6,3.0,36.0
104531,203369,2,9.0,1,29.0,814.0
